	... reading file ...
	... done reading file ... 
output 0.264645 for 21714 nodes

	... starting backpropagation ...
n170 t: *, dr: 0.000000 vr: 2.885942
n171 t: n, dr: 0.000000 vr: 0.346507
n172 t: v, dr: 0.000000 vr: 1.000000
n173 t: *, dr: 0.000000 vr: 0.346507
n174 t: +, dr: 0.000000 vr: 0.346507
n175 t: n, dr: 0.000000 vr: 3.975695
n176 t: v, dr: 0.000000 vr: 0.000000
n177 t: *, dr: 0.000000 vr: 3.975695
n178 t: n, dr: 0.000000 vr: 0.251528
n179 t: v, dr: 0.000000 vr: 1.000000
n180 t: *, dr: 0.000000 vr: 0.251528
n181 t: +, dr: 0.000000 vr: 0.251528
n182 t: n, dr: 0.000000 vr: 3.378889
n183 t: v, dr: 0.000000 vr: 0.000000
n184 t: *, dr: 0.000000 vr: 3.378889
n185 t: n, dr: 0.000000 vr: 0.295955
n186 t: v, dr: 0.000000 vr: 1.000000
n187 t: *, dr: 0.000000 vr: 0.295955
n188 t: +, dr: 0.000000 vr: 0.295955
n189 t: n, dr: 0.000000 vr: 3.593663
n190 t: v, dr: 0.000000 vr: 0.000000
n191 t: *, dr: 0.000000 vr: 3.593663
n192 t: n, dr: 0.000000 vr: 0.278268
n193 t: v, dr: 0.000000 vr: 1.000000
n194 t: *, dr: 0.000000 vr: 0.278268
n195 t: +, dr: 0.000000 vr: 0.278268
n196 t: n, dr: 0.000000 vr: 3.244981
n197 t: v, dr: 0.000000 vr: 0.000000
n198 t: *, dr: 0.000000 vr: 3.244981
n199 t: n, dr: 0.000000 vr: 0.308168
n200 t: v, dr: 0.000000 vr: 1.000000
n201 t: *, dr: 0.000000 vr: 0.308168
n202 t: +, dr: 0.000000 vr: 0.308168
n203 t: n, dr: 0.000000 vr: 3.135777
n204 t: v, dr: 0.000000 vr: 0.000000
n205 t: *, dr: 0.000000 vr: 3.135777
n206 t: n, dr: 0.000000 vr: 0.318900
n207 t: v, dr: 0.000000 vr: 1.000000
n208 t: *, dr: 0.000000 vr: 0.318900
n209 t: +, dr: 0.000000 vr: 0.318900
n210 t: n, dr: 0.000000 vr: 3.752709
n211 t: v, dr: 0.000000 vr: 0.000000
n212 t: *, dr: 0.000000 vr: 3.752709
n213 t: n, dr: 0.000000 vr: 0.266474
n214 t: v, dr: 0.000000 vr: 1.000000
n215 t: *, dr: 0.000000 vr: 0.266474
n216 t: +, dr: 0.000000 vr: 0.266474
