	... reading file ...
	... done reading file ... 
output 0.000000 for 12468 nodes
log: -153.040738
	... starting backpropagation ...
n173 t: *, dr: log(-152.948906) vr: 0.809409, flag: 0
n174 t: +, dr: log(-152.948906) vr: 0.809409, flag: 0
n175 t: n, dr: log(-inf) vr: 1.558345, flag: 0
n176 t: v, dr: log(-152.655412) vr: 0.000000, flag: 0
n177 t: *, dr: log(-152.848075) vr: 1.558345, flag: 1
n178 t: n, dr: log(-152.848075) vr: 0.641707, flag: 0
n179 t: v, dr: log(-153.040738) vr: 1.000000, flag: 0
n180 t: *, dr: log(-152.848075) vr: 0.641707, flag: 0
n181 t: +, dr: log(-152.848075) vr: 0.641707, flag: 0
n182 t: n, dr: log(-inf) vr: 1.467530, flag: 0
n183 t: v, dr: log(-152.707564) vr: 0.000000, flag: 0
n184 t: *, dr: log(-152.874151) vr: 1.467530, flag: 1
n185 t: n, dr: log(-152.874151) vr: 0.681417, flag: 0
n186 t: v, dr: log(-153.040738) vr: 1.000000, flag: 0
n187 t: *, dr: log(-152.874151) vr: 0.681417, flag: 0
n188 t: +, dr: log(-152.874151) vr: 0.681417, flag: 0
n189 t: n, dr: log(-inf) vr: 0.808021, flag: 0
n190 t: v, dr: log(-153.225893) vr: 0.000000, flag: 0
n191 t: *, dr: log(-153.133316) vr: 0.808021, flag: 1
n192 t: n, dr: log(-153.133316) vr: 1.237591, flag: 0
n193 t: v, dr: log(-153.040738) vr: 1.000000, flag: 0
n194 t: *, dr: log(-153.133316) vr: 1.237591, flag: 0
n195 t: +, dr: log(-153.133316) vr: 1.237591, flag: 0
n196 t: n, dr: log(-inf) vr: 3.111140, flag: 0
n197 t: v, dr: log(-152.054900) vr: 0.000000, flag: 0
n198 t: *, dr: log(-152.547819) vr: 3.111140, flag: 1
n199 t: n, dr: log(-152.547819) vr: 0.321426, flag: 0
n200 t: v, dr: log(-153.040738) vr: 1.000000, flag: 0
n201 t: *, dr: log(-152.547819) vr: 0.321426, flag: 0
n202 t: +, dr: log(-152.547819) vr: 0.321426, flag: 0
n203 t: n, dr: log(-inf) vr: 1.510262, flag: 0
n204 t: v, dr: log(-152.682634) vr: 0.000000, flag: 0
n205 t: *, dr: log(-152.861686) vr: 1.510262, flag: 1
n206 t: n, dr: log(-152.861686) vr: 0.662137, flag: 0
n207 t: v, dr: log(-153.040738) vr: 1.000000, flag: 0
n208 t: *, dr: log(-152.861686) vr: 0.662137, flag: 0
n209 t: +, dr: log(-152.861686) vr: 0.662137, flag: 0
n210 t: n, dr: log(-inf) vr: 1.747900, flag: 0
n211 t: v, dr: log(-152.555705) vr: 0.000000, flag: 0
n212 t: *, dr: log(-152.798222) vr: 1.747900, flag: 1
n213 t: n, dr: log(-152.798222) vr: 0.572115, flag: 0
n214 t: v, dr: log(-153.040738) vr: 1.000000, flag: 0
n215 t: *, dr: log(-152.798222) vr: 0.572115, flag: 0
n216 t: +, dr: log(-152.798222) vr: 0.572115, flag: 0
n217 t: n, dr: log(-inf) vr: 2.206166, flag: 0
n218 t: v, dr: log(-152.353462) vr: 0.000000, flag: 0
n219 t: *, dr: log(-152.697100) vr: 2.206166, flag: 1
n220 t: n, dr: log(-152.697100) vr: 0.453275, flag: 0
n221 t: v, dr: log(-153.040738) vr: 1.000000, flag: 0
n222 t: *, dr: log(-152.697100) vr: 0.453275, flag: 0
n223 t: +, dr: log(-152.697100) vr: 0.453275, flag: 0
n224 t: n, dr: log(-inf) vr: 0.840297, flag: 0
n225 t: v, dr: log(-153.191873) vr: 0.000000, flag: 0
n226 t: *, dr: log(-153.116305) vr: 0.840297, flag: 1
n227 t: n, dr: log(-153.116305) vr: 1.190055, flag: 0
n228 t: v, dr: log(-153.040738) vr: 1.000000, flag: 0
n229 t: *, dr: log(-153.116305) vr: 1.190055, flag: 0
n230 t: +, dr: log(-153.116305) vr: 1.190055, flag: 0
n231 t: n, dr: log(-inf) vr: 2.983804, flag: 0
n232 t: v, dr: log(-152.091198) vr: 0.000000, flag: 0
n233 t: *, dr: log(-152.565969) vr: 2.983804, flag: 1
n234 t: n, dr: log(-152.565969) vr: 0.335143, flag: 0
n235 t: v, dr: log(-153.040738) vr: 1.000000, flag: 0
n236 t: *, dr: log(-152.565969) vr: 0.335143, flag: 0
n237 t: +, dr: log(-152.565969) vr: 0.335143, flag: 0
n238 t: n, dr: log(-inf) vr: 1.327005, flag: 0
n239 t: v, dr: log(-152.794993) vr: 0.000000, flag: 0
n240 t: *, dr: log(-152.917866) vr: 1.327005, flag: 1
n241 t: n, dr: log(-152.917866) vr: 0.753577, flag: 0
n242 t: v, dr: log(-153.040738) vr: 1.000000, flag: 0
n243 t: *, dr: log(-152.917866) vr: 0.753577, flag: 0
n244 t: +, dr: log(-152.917866) vr: 0.753577, flag: 0
n245 t: n, dr: log(-inf) vr: 1.363089, flag: 0
n246 t: v, dr: log(-152.771690) vr: 0.000000, flag: 0
n247 t: *, dr: log(-152.906214) vr: 1.363089, flag: 1
n248 t: n, dr: log(-152.906214) vr: 0.733628, flag: 0
n249 t: v, dr: log(-153.040738) vr: 1.000000, flag: 0
n250 t: *, dr: log(-152.906214) vr: 0.733628, flag: 0
n251 t: +, dr: log(-152.906214) vr: 0.733628, flag: 0
n252 t: n, dr: log(-inf) vr: 1.214536, flag: 0
n253 t: v, dr: log(-152.871918) vr: 0.000000, flag: 0
n254 t: *, dr: log(-152.956328) vr: 1.214536, flag: 1
n255 t: n, dr: log(-152.956328) vr: 0.823360, flag: 0
n256 t: v, dr: log(-153.040738) vr: 1.000000, flag: 0
n257 t: *, dr: log(-152.956328) vr: 0.823360, flag: 0
n258 t: +, dr: log(-152.956328) vr: 0.823360, flag: 0
n259 t: n, dr: log(-inf) vr: 1.453751, flag: 0
n260 t: v, dr: log(-152.715759) vr: 0.000000, flag: 0
n261 t: *, dr: log(-152.878249) vr: 1.453751, flag: 1
n262 t: n, dr: log(-152.878249) vr: 0.687876, flag: 0
n263 t: v, dr: log(-153.040738) vr: 1.000000, flag: 0
n264 t: *, dr: log(-152.878249) vr: 0.687876, flag: 0
n265 t: +, dr: log(-152.878249) vr: 0.687876, flag: 0
n266 t: n, dr: log(-inf) vr: 1.606029, flag: 0
n267 t: v, dr: log(-152.629232) vr: 0.000000, flag: 0
n268 t: *, dr: log(-152.834985) vr: 1.606029, flag: 1
n269 t: n, dr: log(-152.834985) vr: 0.622654, flag: 0
n270 t: v, dr: log(-153.040738) vr: 1.000000, flag: 0
n271 t: *, dr: log(-152.834985) vr: 0.622654, flag: 0
n272 t: +, dr: log(-152.834985) vr: 0.622654, flag: 0
n273 t: n, dr: log(-inf) vr: 1.276686, flag: 0
n274 t: v, dr: log(-152.828570) vr: 0.000000, flag: 0
n275 t: *, dr: log(-152.934654) vr: 1.276686, flag: 1
n276 t: n, dr: log(-152.934654) vr: 0.783278, flag: 0
n277 t: v, dr: log(-153.040738) vr: 1.000000, flag: 0
n278 t: *, dr: log(-152.934654) vr: 0.783278, flag: 0
n279 t: +, dr: log(-152.934654) vr: 0.783278, flag: 0
n280 t: n, dr: log(-inf) vr: 1.413706, flag: 0
n281 t: v, dr: log(-152.740020) vr: 0.000000, flag: 0
n282 t: *, dr: log(-152.890379) vr: 1.413706, flag: 1
n283 t: n, dr: log(-152.890379) vr: 0.707361, flag: 0
n284 t: v, dr: log(-153.040738) vr: 1.000000, flag: 0
n285 t: *, dr: log(-152.890379) vr: 0.707361, flag: 0
n286 t: +, dr: log(-152.890379) vr: 0.707361, flag: 0
n287 t: n, dr: log(-inf) vr: 1.561442, flag: 0
n288 t: v, dr: log(-152.653687) vr: 0.000000, flag: 0
n289 t: *, dr: log(-152.847213) vr: 1.561442, flag: 1
n290 t: n, dr: log(-152.847213) vr: 0.640434, flag: 0
n291 t: v, dr: log(-153.040738) vr: 1.000000, flag: 0
n292 t: *, dr: log(-152.847213) vr: 0.640434, flag: 0
n293 t: +, dr: log(-152.847213) vr: 0.640434, flag: 0
n294 t: n, dr: log(-inf) vr: 0.780554, flag: 0
n295 t: v, dr: log(-153.255932) vr: 0.000000, flag: 0
n296 t: *, dr: log(-153.148335) vr: 0.780554, flag: 1
n297 t: n, dr: log(-153.148335) vr: 1.281141, flag: 0
n298 t: v, dr: log(-153.040738) vr: 1.000000, flag: 0
n299 t: *, dr: log(-153.148335) vr: 1.281141, flag: 0
n300 t: +, dr: log(-153.148335) vr: 1.281141, flag: 0
n301 t: n, dr: log(-inf) vr: 3.156821, flag: 0
n302 t: v, dr: log(-152.042238) vr: 0.000000, flag: 0
n303 t: *, dr: log(-152.541488) vr: 3.156821, flag: 1
n304 t: n, dr: log(-152.541488) vr: 0.316774, flag: 0
n305 t: v, dr: log(-153.040738) vr: 1.000000, flag: 0
n306 t: *, dr: log(-152.541488) vr: 0.316774, flag: 0
n307 t: +, dr: log(-152.541488) vr: 0.316774, flag: 0
n308 t: n, dr: log(-inf) vr: 1.561442, flag: 0
n309 t: v, dr: log(-152.653687) vr: 0.000000, flag: 0
n310 t: *, dr: log(-152.847213) vr: 1.561442, flag: 1
n311 t: n, dr: log(-152.847213) vr: 0.640434, flag: 0
n312 t: v, dr: log(-153.040738) vr: 1.000000, flag: 0
n313 t: *, dr: log(-152.847213) vr: 0.640434, flag: 0
n314 t: +, dr: log(-152.847213) vr: 0.640434, flag: 0
n315 t: n, dr: log(-inf) vr: 0.769708, flag: 0
n316 t: v, dr: log(-153.268086) vr: 0.000000, flag: 0
n317 t: *, dr: log(-153.154412) vr: 0.769708, flag: 1
n318 t: n, dr: log(-153.154412) vr: 1.299194, flag: 0
n319 t: v, dr: log(-153.040738) vr: 1.000000, flag: 0
n320 t: *, dr: log(-153.154412) vr: 1.299194, flag: 0
n321 t: +, dr: log(-153.154412) vr: 1.299194, flag: 0
n322 t: n, dr: log(-inf) vr: 3.377268, flag: 0
