	... reading file ...
	... done reading file ... 
output 0.000000 for 21714 nodes
log: -271.634508
	... starting backpropagation ...
n161 t: n, dr: log(-inf) vr: 3.079137, flag: 0
n162 t: v, dr: log(-270.657649) vr: 0.000000, flag: 0
n163 t: *, dr: log(-271.146078) vr: 3.079137, flag: 1
n164 t: n, dr: log(-271.146078) vr: 0.324766, flag: 0
n165 t: v, dr: log(-271.634508) vr: 1.000000, flag: 0
n166 t: *, dr: log(-271.146078) vr: 0.324766, flag: 0
n167 t: +, dr: log(-271.146078) vr: 0.324766, flag: 0
n168 t: n, dr: log(-inf) vr: 2.885942, flag: 0
n169 t: v, dr: log(-270.713932) vr: 0.000000, flag: 0
n170 t: *, dr: log(-271.174220) vr: 2.885942, flag: 1
n171 t: n, dr: log(-271.174220) vr: 0.346507, flag: 0
n172 t: v, dr: log(-271.634508) vr: 1.000000, flag: 0
n173 t: *, dr: log(-271.174220) vr: 0.346507, flag: 0
n174 t: +, dr: log(-271.174220) vr: 0.346507, flag: 0
n175 t: n, dr: log(-inf) vr: 3.975695, flag: 0
n176 t: v, dr: log(-270.435681) vr: 0.000000, flag: 0
n177 t: *, dr: log(-271.035094) vr: 3.975695, flag: 1
n178 t: n, dr: log(-271.035094) vr: 0.251528, flag: 0
n179 t: v, dr: log(-271.634508) vr: 1.000000, flag: 0
n180 t: *, dr: log(-271.035094) vr: 0.251528, flag: 0
n181 t: +, dr: log(-271.035094) vr: 0.251528, flag: 0
n182 t: n, dr: log(-inf) vr: 3.378889, flag: 0
n183 t: v, dr: log(-270.576959) vr: 0.000000, flag: 0
n184 t: *, dr: log(-271.105733) vr: 3.378889, flag: 1
n185 t: n, dr: log(-271.105733) vr: 0.295955, flag: 0
n186 t: v, dr: log(-271.634508) vr: 1.000000, flag: 0
n187 t: *, dr: log(-271.105733) vr: 0.295955, flag: 0
n188 t: +, dr: log(-271.105733) vr: 0.295955, flag: 0
n189 t: n, dr: log(-inf) vr: 3.593663, flag: 0
n190 t: v, dr: log(-270.523434) vr: 0.000000, flag: 0
n191 t: *, dr: log(-271.078971) vr: 3.593663, flag: 1
n192 t: n, dr: log(-271.078971) vr: 0.278268, flag: 0
n193 t: v, dr: log(-271.634508) vr: 1.000000, flag: 0
n194 t: *, dr: log(-271.078971) vr: 0.278268, flag: 0
n195 t: +, dr: log(-271.078971) vr: 0.278268, flag: 0
n196 t: n, dr: log(-inf) vr: 3.244981, flag: 0
n197 t: v, dr: log(-270.612083) vr: 0.000000, flag: 0
n198 t: *, dr: log(-271.123295) vr: 3.244981, flag: 1
n199 t: n, dr: log(-271.123295) vr: 0.308168, flag: 0
n200 t: v, dr: log(-271.634508) vr: 1.000000, flag: 0
n201 t: *, dr: log(-271.123295) vr: 0.308168, flag: 0
n202 t: +, dr: log(-271.123295) vr: 0.308168, flag: 0
n203 t: n, dr: log(-inf) vr: 3.135777, flag: 0
n204 t: v, dr: log(-270.641817) vr: 0.000000, flag: 0
n205 t: *, dr: log(-271.138162) vr: 3.135777, flag: 1
n206 t: n, dr: log(-271.138162) vr: 0.318900, flag: 0
n207 t: v, dr: log(-271.634508) vr: 1.000000, flag: 0
n208 t: *, dr: log(-271.138162) vr: 0.318900, flag: 0
n209 t: +, dr: log(-271.138162) vr: 0.318900, flag: 0
n210 t: n, dr: log(-inf) vr: 3.752709, flag: 0
n211 t: v, dr: log(-270.485818) vr: 0.000000, flag: 0
n212 t: *, dr: log(-271.060163) vr: 3.752709, flag: 1
n213 t: n, dr: log(-271.060163) vr: 0.266474, flag: 0
n214 t: v, dr: log(-271.634508) vr: 1.000000, flag: 0
n215 t: *, dr: log(-271.060163) vr: 0.266474, flag: 0
n216 t: +, dr: log(-271.060163) vr: 0.266474, flag: 0
n217 t: n, dr: log(-inf) vr: 3.810109, flag: 0
n218 t: v, dr: log(-270.472633) vr: 0.000000, flag: 0
n219 t: *, dr: log(-271.053571) vr: 3.810109, flag: 1
n220 t: n, dr: log(-271.053571) vr: 0.262460, flag: 0
n221 t: v, dr: log(-271.634508) vr: 1.000000, flag: 0
n222 t: *, dr: log(-271.053571) vr: 0.262460, flag: 0
n223 t: +, dr: log(-271.053571) vr: 0.262460, flag: 0
n224 t: n, dr: log(-inf) vr: 3.481844, flag: 0
n225 t: v, dr: log(-270.550889) vr: 0.000000, flag: 0
n226 t: *, dr: log(-271.092698) vr: 3.481844, flag: 1
n227 t: n, dr: log(-271.092698) vr: 0.287204, flag: 0
n228 t: v, dr: log(-271.634508) vr: 1.000000, flag: 0
n229 t: *, dr: log(-271.092698) vr: 0.287204, flag: 0
n230 t: +, dr: log(-271.092698) vr: 0.287204, flag: 0
n231 t: n, dr: log(-inf) vr: 3.734092, flag: 0
n232 t: v, dr: log(-270.490138) vr: 0.000000, flag: 0
n233 t: *, dr: log(-271.062323) vr: 3.734092, flag: 1
n234 t: n, dr: log(-271.062323) vr: 0.267803, flag: 0
n235 t: v, dr: log(-271.634508) vr: 1.000000, flag: 0
n236 t: *, dr: log(-271.062323) vr: 0.267803, flag: 0
n237 t: +, dr: log(-271.062323) vr: 0.267803, flag: 0
n238 t: n, dr: log(-inf) vr: 3.790711, flag: 0
n239 t: v, dr: log(-270.477067) vr: 0.000000, flag: 0
n240 t: *, dr: log(-271.055787) vr: 3.790711, flag: 1
n241 t: n, dr: log(-271.055787) vr: 0.263803, flag: 0
n242 t: v, dr: log(-271.634508) vr: 1.000000, flag: 0
n243 t: *, dr: log(-271.055787) vr: 0.263803, flag: 0
n244 t: +, dr: log(-271.055787) vr: 0.263803, flag: 0
n245 t: n, dr: log(-inf) vr: 2.689273, flag: 0
n246 t: v, dr: log(-270.775238) vr: 0.000000, flag: 0
n247 t: *, dr: log(-271.204873) vr: 2.689273, flag: 1
n248 t: n, dr: log(-271.204873) vr: 0.371848, flag: 0
n249 t: v, dr: log(-271.634508) vr: 1.000000, flag: 0
n250 t: *, dr: log(-271.204873) vr: 0.371848, flag: 0
n251 t: +, dr: log(-271.204873) vr: 0.371848, flag: 0
n252 t: n, dr: log(-inf) vr: 3.135777, flag: 0
n253 t: v, dr: log(-270.641817) vr: 0.000000, flag: 0
n254 t: *, dr: log(-271.138162) vr: 3.135777, flag: 1
n255 t: n, dr: log(-271.138162) vr: 0.318900, flag: 0
n256 t: v, dr: log(-271.634508) vr: 1.000000, flag: 0
n257 t: *, dr: log(-271.138162) vr: 0.318900, flag: 0
n258 t: +, dr: log(-271.138162) vr: 0.318900, flag: 0
n259 t: n, dr: log(-inf) vr: 3.932464, flag: 0
n260 t: v, dr: log(-270.445179) vr: 0.000000, flag: 0
n261 t: *, dr: log(-271.039844) vr: 3.932464, flag: 1
n262 t: n, dr: log(-271.039844) vr: 0.254294, flag: 0
n263 t: v, dr: log(-271.634508) vr: 1.000000, flag: 0
n264 t: *, dr: log(-271.039844) vr: 0.254294, flag: 0
n265 t: +, dr: log(-271.039844) vr: 0.254294, flag: 0
n266 t: n, dr: log(-inf) vr: 3.975695, flag: 0
n267 t: v, dr: log(-270.435681) vr: 0.000000, flag: 0
n268 t: *, dr: log(-271.035094) vr: 3.975695, flag: 1
n269 t: n, dr: log(-271.035094) vr: 0.251528, flag: 0
n270 t: v, dr: log(-271.634508) vr: 1.000000, flag: 0
n271 t: *, dr: log(-271.035094) vr: 0.251528, flag: 0
n272 t: +, dr: log(-271.035094) vr: 0.251528, flag: 0
n273 t: n, dr: log(-inf) vr: 3.378889, flag: 0
n274 t: v, dr: log(-270.576959) vr: 0.000000, flag: 0
n275 t: *, dr: log(-271.105733) vr: 3.378889, flag: 1
n276 t: n, dr: log(-271.105733) vr: 0.295955, flag: 0
n277 t: v, dr: log(-271.634508) vr: 1.000000, flag: 0
n278 t: *, dr: log(-271.105733) vr: 0.295955, flag: 0
n279 t: +, dr: log(-271.105733) vr: 0.295955, flag: 0
n280 t: n, dr: log(-inf) vr: 2.536523, flag: 0
n281 t: v, dr: log(-270.826031) vr: 0.000000, flag: 0
n282 t: *, dr: log(-271.230269) vr: 2.536523, flag: 1
n283 t: n, dr: log(-271.230269) vr: 0.394241, flag: 0
n284 t: v, dr: log(-271.634508) vr: 1.000000, flag: 0
n285 t: *, dr: log(-271.230269) vr: 0.394241, flag: 0
n286 t: +, dr: log(-271.230269) vr: 0.394241, flag: 0
n287 t: n, dr: log(-inf) vr: 3.466623, flag: 0
n288 t: v, dr: log(-270.554694) vr: 0.000000, flag: 0
n289 t: *, dr: log(-271.094601) vr: 3.466623, flag: 1
n290 t: n, dr: log(-271.094601) vr: 0.288465, flag: 0
n291 t: v, dr: log(-271.634508) vr: 1.000000, flag: 0
n292 t: *, dr: log(-271.094601) vr: 0.288465, flag: 0
n293 t: +, dr: log(-271.094601) vr: 0.288465, flag: 0
n294 t: n, dr: log(-inf) vr: 2.570927, flag: 0
n295 t: v, dr: log(-270.814328) vr: 0.000000, flag: 0
n296 t: *, dr: log(-271.224418) vr: 2.570927, flag: 1
n297 t: n, dr: log(-271.224418) vr: 0.388965, flag: 0
n298 t: v, dr: log(-271.634508) vr: 1.000000, flag: 0
n299 t: *, dr: log(-271.224418) vr: 0.388965, flag: 0
n300 t: +, dr: log(-271.224418) vr: 0.388965, flag: 0
n301 t: n, dr: log(-inf) vr: 3.270635, flag: 0
n302 t: v, dr: log(-270.605243) vr: 0.000000, flag: 0
n303 t: *, dr: log(-271.119876) vr: 3.270635, flag: 1
n304 t: n, dr: log(-271.119876) vr: 0.305751, flag: 0
n305 t: v, dr: log(-271.634508) vr: 1.000000, flag: 0
n306 t: *, dr: log(-271.119876) vr: 0.305751, flag: 0
n307 t: +, dr: log(-271.119876) vr: 0.305751, flag: 0
n308 t: n, dr: log(-inf) vr: 2.943519, flag: 0
n309 t: v, dr: log(-270.696773) vr: 0.000000, flag: 0
n310 t: *, dr: log(-271.165640) vr: 2.943519, flag: 1
n311 t: n, dr: log(-271.165640) vr: 0.339729, flag: 0
n312 t: v, dr: log(-271.634508) vr: 1.000000, flag: 0
n313 t: *, dr: log(-271.165640) vr: 0.339729, flag: 0
n314 t: +, dr: log(-271.165640) vr: 0.339729, flag: 0
